COMMAND   PID     USER   FD   TYPE DEVICE SIZE/OFF    NODE NAME
python  15047 khushiii  cwd    DIR   0,37     1534 1979616 /home/khushiii/vikaas
python  15047 khushiii  rtd    DIR   0,38      178     256 /
python  15047 khushiii  txt    REG   0,37 17504824 2141392 /home/khushiii/.conda/envs/vikaas_ppe/bin/python3.10
python  15047 khushiii  mem    REG   0,36          2150334 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/pillow.libs/libbrotlicommon-c55a5f7a.so.1.2.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158307 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libQt5Gui-26aef175.so.5.15.18 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2140144 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_codecs_iso2022.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158309 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libQt5Widgets-da081f00.so.5.15.18 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2154971 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/charset_normalizer/md.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2154967 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/charset_normalizer/cd.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36           369393 /usr/lib64/libglib-2.0.so.0.8600.4 (path dev=0,38)
python  15047 khushiii  mem    REG   0,36          2158330 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libswscale-09114b18.so.9.1.100 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158320 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libavutil-ec54c519.so.60.8.100 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2139290 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_statistics.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2140003 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/termios.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150341 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/pillow.libs/liblzma-61b1002e.so.5.8.2 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2171226 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torch/lib/libc10_cuda.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158318 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libavformat-8c8a026e.so.62.3.100 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2141152 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_lsprof.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36           182614 /usr/lib64/libpcre2-8.so.0.15.0 (path dev=0,38)
python  15047 khushiii  mem    REG   0,36            37191 /usr/lib64/libGLdispatch.so.0.0.0 (path dev=0,38)
python  15047 khushiii  mem    REG   0,36          2158315 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libavcodec-156beeea.so.62.11.100 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36           564321 /usr/lib64/libnss_myhostname.so.2 (path dev=0,38)
python  15047 khushiii  mem    REG   0,36          2158174 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/cv2/cv2.abi3.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2175017 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torchvision.libs/libz.03209371.so.1 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150335 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/pillow.libs/libbrotlidec-b57ddf63.so.1.2.0 (path dev=0,37)
