COMMAND   PID     USER   FD      TYPE DEVICE SIZE/OFF    NODE NAME
conda   14991 khushiii  mem       REG   0,36           458024 /usr/lib64/ld-linux-x86-64.so.2 (path dev=0,38)
conda   14991 khushiii    0w      CHR    1,3      0t0       4 /dev/null
conda   14991 khushiii    1w      REG   0,37        0 2179903 /home/khushiii/vikaas/training.log
conda   14991 khushiii    2w      REG   0,37       22 2179904 /home/khushiii/vikaas/training_err.log
conda   14991 khushiii    3r      REG   0,38    61592  181300 /usr/lib64/libffi.so.8.2.0
conda   14991 khushiii    6r     FIFO   0,15      0t0   98408 pipe
conda   14991 khushiii    8r     FIFO   0,15      0t0   98409 pipe
conda   14991 khushiii   37r  a_inode   0,16        0    2083 inotify
conda   14991 khushiii   39u  netlink             0t0   46467 ROUTE
conda   14991 khushiii   45w      REG   0,37        0 2180333 /home/khushiii/.config/Antigravity/logs/20260322T125423/ptyhost.log
conda   14991 khushiii   46u      CHR    5,2      0t0     124 /dev/ptmx
conda   14991 khushiii  103r      REG   0,38   776865  686613 /usr/share/antigravity/v8_context_snapshot.bin
